keywords,User,Time,Favorite count,retweets,Text
Myst 25th Anniversary Collection,cyanworlds,2018/5/16 5:36,14,3,New Update! Riven : Behind The Ages - Josh Staub https://t.co/UR5Su2Xqkx #myst25 https://t.co/NJOW0Ey4Gl
Enchanters,D_B_Green,2018/5/15 19:32,1,1,"Enchanters: A Meridia Falls Fantasy Thriller. Buy it now from here: https://t.co/Mi1MeRzkNV ""When all is lost, a gh https://t.co/dqlDRIBD3o"
Savage Worlds Sovereign Stone,d20pfsrd,2018/5/17 21:30,2,2,"If you are a fan of Larry Elmore, check out this interview by Egg Embry:  RPG Kickstarter  Savage Worlds Sovereign https://t.co/VuNgAJxsdT"
"Heroes of Land, Air & Sea",Dagreenskins,2018/6/4 13:50,11,3,"Check out the new Birdfolk for Heroes of Land, Air and Sea from @Gamelyn_Games The KS is live and getting a lot of https://t.co/EmKwPQLI61"
Yokai Septet,Dan_NinjaStar,2018/5/27 17:19,2,2,KublaCon dealer hall is now open! Come demo our latest game Yokai Septet currently on Kickstarter! We also have Swe https://t.co/kzKuTppgha
GameTale,danieladeangeli,2018/5/21 12:13,0,2,Discover the artefact for #GameTale2018: A 19th century steel peacock with golden decorations from the @Holburne co https://t.co/yIqUbGSSIy
Kodama Duo,DanielSolis,2018/5/21 12:02,22,7,"While y'all here, buy a sense of accomplishment!

 Junk Orbit in stores in late June. Pre-order for a promo pack o https://t.co/hMRTgmJqI4"
Inexpensive Fate / Fudge Dice,danthediceguy,2018/5/16 13:22,3,1,"Sample Inexpensive Fate/Fudge Dice! 
#fatecore #fate #fudge #faterpg #fudgerpg #dice #fatedice #fudgedice https://t.co/2DlPUjepoa"
Orphans Team Fantasy Football,darrenc777,2018/5/26 23:24,0,2,"@FFReevesIsland @MyFantasyLeague @FFD260_Orphans 
@MyFantasyLeague 
Join my 16 team startup keeper Fantasy Football https://t.co/Q1mU2bMbU4"
ACUTE PARANOIA,DasGoblinGames,2018/6/1 15:35,1,1,Acute Paranoia RPG Up On Kickstarter https://t.co/1te1lDQLvo https://t.co/Zb2VeLQ5td
Castle von Loghan,DaveTaylor,2018/5/27 20:11,1,1,"Hey gamers! The Kickstarter campaign for the board game ""Castle von Loghan"" looks fun and 1-6 players gives you lot https://t.co/UZTCLL82PY"
Solar Warden,DavidBaity,2018/5/15 21:54,0,1,"Download the demo

https://t.co/hcJEzeCmNp"
Thornclaw Manor- Illustrated Playing Cards by Steve Ellis,DavidGallaher,2018/5/21 16:03,15,10,I just backed Thornclaw Manor Illustrated Playing Cards by @HyperSteve Ellis on @Kickstarter https://t.co/MfnbnWYIib
Modelling Miniatures Core Book & Dwarves Source Book,day133513636,2018/5/21 2:11,1,1,"OMG, my new Kickstarter project is LIVE. Please check it out..
#Sculptris #Sculpting #3DPrinting #3DModelling https://t.co/iehp74nUtP"
Fungeons & Fandoms,DeathByMage,2018/5/17 20:58,7,3,Check out Fungeons &amp; Fandoms' #Kickstarter and level up your Nerdom with these awesome d20 Enamel Pins! https://t.co/5F3QyrPGXW
Villagers,DeccanHerald,2018/5/22 13:13,2,2,The villagers have been vehemently opposing the noxious gas leaks and bad effluent management for nearly 20 years a https://t.co/1GyVzxccdy
Critically Drunk,DeepDungeonGMZ,2018/6/1 12:21,1,1,https://t.co/PbxBLgDFvm COME JOIN THE SUCCESS!!! #DND #RPG #GAMES #GAMING #FANTASY #KICKSTARTER #CROWDFUNSING RETWW https://t.co/WTt6aEx40n
Mr. Cabbagehead's Garden,demo_ken,2018/5/13 1:43,0,1,Sallie Tommy-oughtoos can bugger off from my garden! My first game of Mr. Cabbagehead's Garden nets me 78 points. T https://t.co/YnpT7Gs43W
Reign of Cthulhu,DianeVarner,2018/6/3 20:39,1,1,Reign of Cthulhu is Changing AR Gaming one T-shirt At a Time! https://t.co/oEisQoMvi1 via @NothingButGeek
One Week Ultimate Werewolf,dicerollcafe,2018/6/2 12:05,8,3,"So glad to get a game of @beziergames' new addition to the #werewolfgame line, #OneWeekWerewolf! Was really impress https://t.co/7NjapTqIJ5"
ENVYRA,dicetower_news,2018/5/10 16:05,2,1,Envyra lands on Kickstarter. https://t.co/UpkKCmdlma You are part of fascinating Vortex of life where players compe https://t.co/Wgi5ew2YTi
Galactic Wars,disney_parents,2018/5/16 4:26,1,1,Star Wars: Galactic Nights event reveals Galaxys Edge Panelists #disney https://t.co/IwXirmZCtX
Endless Realms RPG,DocDraconis,2018/5/15 3:52,7,5,"This is an #rpg I'm writing for, and it's SO CLOSE to funding!

Check it out. It's a great concept,  and it's in Ca https://t.co/Ei1Ot12T2Z"
Solar Warden,dominictarason,2018/5/22 12:33,0,2,"Oh man, the Solar Warden Kickstarter is 6 hours from finish, and just 2k short. Fingers crossed.
https://t.co/0x4UhiaO6n"
Dangerous Descents 5e,DragonTurtleG,2018/5/12 17:31,14,3,"We've unlocked Dungeon Art for Dangerous Descents 5e!
Each one of our adventure modules will feature a brilliant il https://t.co/MIi6hgiHDl"
The Overworld and Beyond,dread_unicorn,2018/5/16 5:21,2,2,"Egg Embry names The Overworld and Beyond as a ""Kickstarter You Should Back!""
https://t.co/bghgGIq7Pk https://t.co/8VadRkIqmE"
Newfoundland Jam,DrinkingQuest,2018/6/3 15:02,1,1,"Working to finish a downloadable version of the NEWFOUNDLAND JAM rulebook today, flexing my mental biceps to get th https://t.co/lBi70iw5xf"
Deluxe Metal Meeples,dunsmoregames,2018/5/8 22:13,1,2,"I backed this #kickstarter for ""Deluxe Metal Meeples"". I'm pretty sure no one needs these but I had to have them! I https://t.co/e3ukDauOQl"
The Neverland Rescue by Scott Almes,dustinbschwartz,2018/5/28 2:47,3,2,"Have y'all seen the latest Scott Almes game, a 2-player asymmetrical face-off between Peter Pan and Captain Hook?
https://t.co/g3TZppcdUS"
Overrunners,dwspainting,2018/5/9 7:46,37,10,Last few days https://t.co/zpEy9nprAO https://t.co/1jTkzm6hbm
Red Sonja Tarot Deck,DynamiteComics,2018/6/5 5:11,6,2,"The mythical world of #RedSonja is now playable as a new set of unique #tarot cards! For 5 days only, pre-order you https://t.co/zUN0Hh2tUE"
Herbaceous Sprouts,ebaraf,2018/5/26 15:01,4,1,"First Herbaceous Sprouts Kickstarter Live Event is scheduled for Tuesday, May 29th @ 6:00pm PST. Click through to s https://t.co/QsoOarAXbU"
Fetch Quest,eddyfate,2018/6/4 13:39,3,2,Tessera listed #FetchQuest as an all-ages Kickstarter to back! https://t.co/OzSdmTmLQk
Sol705,EdGameTec,2018/5/22 5:17,3,3,"Super fun review of Sol705 by @Lobster_Fight. Really well done, guys.

https://t.co/0ccwEcofgR

#IndieGame https://t.co/htkv3Mo287"
Forsaken Forest,EhrlichAnissa,2018/5/31 19:27,6,2,Playing Forsaken Forest with @ForsakenForest and @games_overboard on Twitch at https://t.co/BLxHXKGboi. It is almos https://t.co/jilnAr1qqf
Dream Askew // Dream Apart,EnigmaticEvents,2018/5/21 16:10,15,8,"A new story telling game by Avery Alder (@dreamaskew)?  Take my pledge! ""Dream Askew and Dream Apart are beginner-f https://t.co/LGkuCW3JvT"
Cubeamajigs,EoT_Impulse,2018/5/27 2:55,3,1,"I was a little confused about the Cubeamajigs that @cardamajigs is putting out, but then I realized that they're th https://t.co/Na9kYWziIw"
Artifact Dice,epicgamingnight,2018/5/14 17:04,5,1,are amazing sponsor @dogmight is in the Final 24 hours of their artifact dice kick starter! Definitely check out th https://t.co/FBqLi7x6Mc
Loot N Shoot Reloaded,ETBoardGames,2018/5/13 3:12,0,2,What is more fun than board games? A board game with a rubber band gun! Loot n Shoot!!! On #Kickstarter now https://t.co/Q1047fdTrA
Cubeamajigs,EthanFleischer,2018/5/28 23:59,19,2,Beta report on @cardamajigss Cubeamajigs boxes number one: Assembling the boxes has proved to be irresistible to 1 https://t.co/v4HQ0iQ5XI
Tabletop Tales,EuroGamerGirl,2018/5/24 14:02,0,1,Tabletop Tales is really close to funding! Only 7 days left! Please check it out on @Kickstarter! https://t.co/BT2EsyikML
Penny Lane,EvanWayneENT,2018/5/16 2:09,4,1,Listen to Penny Lane by E.W. #np on #SoundCloud #newhiphip #wavy #deep #mom #mothersday https://t.co/z2rrusDV6D
Discovering Godot,fabiojose80,2018/6/5 0:42,3,1,Check out Discovering Godot - Learn Python-Like Code By Making Games by @BenTristem on @Kickstarter https://t.co/m5dvhrDOPD #godot #gamedev
Castle von Loghan,FailroadExpress,2018/5/15 1:37,0,1,"Played Castle von Loghan with Creator, Paul Toderas yesterday.  Ton of fun! @Kickstarter https://t.co/1Li6wVtcmO #boardgames #heros #story"
Tricky Tides,fairway3games,2018/5/28 0:30,8,2,"The fantastically inventive ""Trick taking"" game from @stevenaramini is coming upon the last 4 days!

Check out https://t.co/lkIzuZE2m8"
Empyreal,fancifullocales,2018/5/29 7:11,1,1,"Apparantly you  need to defeat The Empyreal Wereboars to reach The Malformed Pirate Lady! 
#DnD #RPG"
Deluxe Metal Meeples,fanfactories,2018/5/11 6:17,6,1,I just backed Deluxe Metal Meeples designed by @DanielSolis on @Kickstarter https://t.co/zvVERfMo2P
Galactic Wars,FanthaTracks,2018/5/29 10:35,2,1,Inside Star Wars: Galaxys Edge panel from Star Wars: Galactic Nights - https://t.co/RlXtcNgFzB #StarWars https://t.co/QTa6zCD9nZ
Demonworld Miniatures Elf Army Book,fasagames,2018/6/2 16:14,3,1,"Welcome to #demonworld !
The lands of the world called Garin are covered in thousands of years of history and legen https://t.co/CWOjrQwBGX"
Fenris Games,FenrisGames,2018/5/16 5:00,4,1,Not-so-random Wednesday shop product : Innsmouth roof shingles from the existing range. Unlocked #RubbleCity ROOF P https://t.co/GF9HlbDlLi
The Dice Dungeon,FreeGamePlanet,2018/5/27 14:21,7,5,Dicey Dungeons - Addictive Dice Based Roguelike Dungeon Crawler Where Your Loot &amp; Character Class Can Dramatically https://t.co/KZpGz4lo87
Journal 29 Revelation,GadgetFlow,2018/5/21 2:03,0,2,"Journal 29 Revelation Interactive Book Game https://t.co/yCqoui7HQh Made up of 152 physical pages, Journal 29 Revel https://t.co/MHnT84RuGV"
Project Wingman,game_metrics,2018/6/4 5:15,2,2,Project Wingman https://t.co/BpisPrYmP6 #arcade #FLIGHT #shooting #action #gameplay #DOWNLOAD #UE4 #UnrealEngine4 https://t.co/PGqZZI6JEC
Black Geyser,gamebanshee,2018/5/20 10:38,1,1,"Black Geyser: Couriers of Darkness Updates, $74,066 and Counting https://t.co/UXIAQYWE7H"
Stoneshard,Gameplayinginfo,2018/5/22 12:44,0,1,New post (Stoneshard successfully financed by Kickstarter) has been published on Game playing info - https://t.co/DA4iWVr2DE
Sprawlopolis,games_overboard,2018/5/21 18:26,3,2,we are live and showcasing two Kickstarter Games on https://t.co/ot3WceZs6m We are Starting with a 3 player https://t.co/h9w8gsKlcV
Digital Elf Outpost for 3D Printing ,GameScape3D,2018/5/22 3:24,12,5,"Early shots of Elf Baracks should be ready for promo shots by mid week.

https://t.co/Xuj8L18HHR

#DnD #boardgames https://t.co/NCXzW4zB6O"
Battle Mat Books for Fantasy and Sci-Fi Tabletop RPG Games,Gamesplus8,2018/5/13 20:18,6,2,We just backed Battle Mat Books for Fantasy and Sci-Fi Tabletop RPG Games on @Kickstarter https://t.co/RwEJQn8KLB #RPG #Maps #tabletop
"BFF!  The game of girlhood, friendship, and adventure!",GeekGirlCon,2018/5/20 19:25,6,1,"BFF! The Game of Girlhood, Friendship, and Adventure is an absolutely charming game to play with your BFFs. Serious https://t.co/iDTQgv4l6S"
Wooden Fractal Tray Puzzles,Gelada,2018/5/10 16:23,18,11,Lovely wooden space filling curve puzzles! @Kickstarter https://t.co/AJgQ0tcbJA
CATastrophe Tarot Deck,generalcrozier,2018/5/15 23:44,5,3,"https://t.co/KO2t4FYpV5
reminder that im a part of this tarot card project. it's fully funded now but we are honest https://t.co/MoJGWt5mlz"
Steamboat Billy,GenkiGamingTv,2018/5/28 21:04,1,1,"I just backed Steamboat Billy: The Curse of the Leviathan on @Kickstarter https://t.co/e21tnhbTgr @manavoid

Just b https://t.co/sRI8ygESsD"
Laser Terrain Co,GeorgeSocially,2018/5/10 6:10,2,1,"Laser Terrain Co - Modular Painted Terrain

 https://t.co/izVtH2Dslf, via Kickstarter"
FantastiCon 2018 ,GigiEdgley,2018/5/29 11:04,3,3,Only 32 left §Ô Please share and spread the love  Check out FantastiCon 2018 :- Join us for the UK's most diverse https://t.co/vjoWArSka6
Historical metal coins,giochix,2018/5/23 8:48,5,1,"https://t.co/PONZOqDVkc historical metal coins are available on Kickstarter! https://t.co/s8IzCmaE4x 
Don't miss th https://t.co/yLJC6kQkEz"
One Week Ultimate Werewolf,GirlGeekUpNorth,2018/6/2 17:53,9,2,"Shattered after day 2 of @UKGamesExpo 2018.
Managed to get a demo game of Frenetic, along with some great deception https://t.co/l0Iz4nAPQZ"
On Their Merry Way,GlasgowLib,2018/6/4 9:56,2,4,We've been counting and sorting to get loads of Tesco Bank Summer Reading Challenge packs on their merry way to 31 https://t.co/7FkXk0qGW0
Shadowrun,glennsoii,2018/5/29 9:38,3,3,"I am unsure which color theme I like better . . . ! What would you prefer? 

#shadowrun 
#Nartaki https://t.co/QKoz6i8O9Q"
Dragon Bites,GMHFOMG,2018/6/4 15:20,0,2,Monday!  Another opportunity to start the week out with a bang!  And good food!  Come by the Grady Cafe for cheddar https://t.co/vGhN7G2Qqr
MORE Cool Dice Bags,GMTimD,2018/5/26 1:23,1,1,"Just backed this! You should too!!!

Three gorgeous dice bags!!! Woooo!!!

https://t.co/ZOwpfmitU6 https://t.co/HHFEVBk7KQ"
GRIM BUTCHERS Chaos Dwarf Team for Fantasy Football,Goblin_Guild,2018/5/19 9:23,8,5,"GRIM BUTCHERS Chaos Dwarf Team for Fantasy Football, via @Kickstarter https://t.co/pO8soNGtO8"
Bios Ex,GogenSoft,2018/5/13 19:28,2,3,"Pre-oreder Bios Ex Ori Edition Now on https://t.co/gB4Z49C5Ae   
#gamedev #kickstarter #vndev #visualnovel https://t.co/XvhYEumvnA"
The Peasants' Fell Bargain,GoodmanGames,2018/5/28 16:58,10,4,"Something is rotten in and around the general Stenorian area.... The new Kickstarter for the third-party release, T https://t.co/yQ7zSaI1Re"
The Thirsty Dragon Board Games Bar and Cafe,GreenwichHour,2018/5/29 18:54,5,1,CONGRATULATIONS @ThirstyDragonUK for smashing your Kickstarter fundraising! With 8 days still to go you've already https://t.co/vpbdpQ7pPg
Spectacular Settlements for 5th Edition,Gwelith,2018/6/1 6:32,2,1,I just backed Spectacular Settlements for 5th Edition! on @Kickstarter https://t.co/AHv17J1nYv
Digital Elf Outpost for 3D Printing ,HaldaneCreation,2018/5/6 3:31,3,1,Kevin Rank over on Facebook https://t.co/GyLZb5POw6   did some test printing from the @GameScape3D Digital Elf Ou https://t.co/UPX3vzN45s
World of Alessia Campaign Primer for 5e D&D & Starfinder,haloovfire,2018/5/18 18:02,2,1,"Because we make the awesome, that's why!

Check out World of Alessia Campaign Primer for 5e D&amp;D &amp; Starfinder by Jay https://t.co/6qz4Q9jCiJ"
